状元茶	配方	冰糖６０克
勇士芋螺	科	芋螺属
毛茛耧斗菜白粉菌	外文名称	Erysiphe aquilegiae var.
杜英（杜英属常绿乔木植物）	拉丁学名	Elaeocarpus decipiens Hemsl.
二点类华花天牛	亚纲	有翅亚纲
大金星尺蛾	目	鳞翅目
厚嘴绿鸠	界	动物界
相模原小单孢菌	属性	基丝平坦，杏色至暗褐色
华胸突鳃金龟	科	鳃金龟科
流量监控	功能	监控
撒旦鸭嘴	别称	撒旦鸭嘴鯰
台湾厚唇兰	科	兰科
酸苔菜	别称	帕累
东方铁筷子	分布区域	分布于亚洲西、北部
二十八星瓢虫	目	鞘翅目
黑缝窄花天牛	亚纲	有翅亚纲
小燕子（燕子）	亚目	雀形目
人参乌龙茶	闻其香	有馥郁的甜香味
细胞毒性T淋巴细胞	亦叫	TC细胞
黄肉栓菌	目	多孔菌目
细胞毒性T淋巴细胞	中文名	细胞毒性T淋巴细胞
淡网尺蛾	种	淡网尺蛾
连纹小花天牛	种	连纹小花天牛
红枝瑚菌	中文学名	红枝瑚菌
竹象鼻虫	分布区域	台湾等省
大花地宝兰	亚科	兰亚科
悲疽夜蛾	亚种	无
金翅雀（雀科类动物）	命名者及年代	Linnaeus, 1766
双电鳐	属	双电鳐属
黛比（多肉植物）	门	被子植物门
马郁兰甘菊茶	茶材	干燥马郁兰洋甘菊茉莉
连翘玉花茶	功能	清热解毒，消肿散节；抗菌
海带酥肉汤	主要原料	肉末
羊肚菌	科	羊肚菌科 Morohellaceae
花尾榛鸡	别称	飞龙
暗鳞木假尾孢	外观	边缘暗褐色，具黄褐色晕
姬红蛱蝶	中文学名	姬红蛱蝶
赤点石斑鱼	亚纲	辐鳍亚纲
白毛	特征	分枝尚密
模里西斯织纹螺	拉丁学名	Nassarius margaritifer
观赏虾	种属	节肢动物甲壳类
球壳目	汉语拼音	qiuqiao mu
巨鸊鷉	中文学名	巨䴙䴘
铁锈芋螺	目	新腹足目
染弥尺蛾	种	染弥尺蛾
豹鳎	科	鳎科
绿翅鸭	命名者及年代	Linnaeus, 1758
康定毛茛	分布区域	分布于四川西部
葡萄（水果）	果期	8-9月
鸬鹚（鹈形目鸬鹚属通称）	种	39种
革叶木瓜红	卷	Rehderodendron Hu
安哥洛卡象龟	种	安哥洛卡象龟
孔雀鱼	同义学名	Lebistes poecilioides
红白毛杯菌	属	白毛杯菌属
鬣蜥亚目	目	蜥蜴目
中国鸽子树	别称	水梨子
隆背喙丽金龟	目	鞘翅目
赤点石斑鱼	别称	石斑
毛果银莲花	纲	双子叶植物纲
勇士芋螺	种	勇士芋螺
拟康定乌头	族	翠雀族
矩鳞油杉	科	松科
孔雀鱼	同义学名	Pocilia reticulata
粉口兰	亚科	兰亚科
画眉海南亚种	界	动物界
蓝雀（鱼类）	英文名称	Axelrod`s Dogtooth Cichlid
华石斛	目	微子目
杜鹃（杜鹃花科植物）	别称	唐杜鹃
糙叶唐松草	中文学名	糙叶唐松草
触须阔蕊兰	亚科	兰亚科
茎瘤芥	中文学名	茎瘤芥
距瓣尾囊草	是否中国特有	是
短距风兰	亚科	兰亚科
美洲白鹮	亚纲	今鸟亚纲
竹荪	别名	僧笠蕈
威玛猎犬	习性	耐热怕冷，不需要经常梳理被毛
半环华花天牛	科	天牛科
“福娃”变种b	危害等级	★★
小斑长跗萤叶甲	分布区域	福建
似鲇高原鳅	中文学名	似鲇高原鳅
玉米小斑病	病原分类地位	黄河和长江流域
乌秋	分布区域	平地至低海拔山区树林
鸫科	拉丁学名	Turdidae
豆角	种	豇豆
拳距瓜叶乌头	属	乌头属
叉唇钗子股	科	兰科
沙鸥（鸥科鸟类）	种类	燕鸥
英国短毛猫	体型	圆胖
长毛猿金花虫	中文学名	黑足后缘肖叶甲
猕猴桃（水果）	别称	阳桃
豹猫（猫科动物）	门	脊索动物门
掌状花耳	直径	1-6cm
祁连山乌头	拉丁学名	Aconitum chilienshanicum W. T. Wang
兰州鲇	界	动物界
贝状木层孔菌	别称	针贝针孔菌
跳板茶	含义	在跳板上献茶
小栓菌	门	真菌门Eumycota
麻栗坡兜兰	拉丁学名	Paphiopedilum malipoense S. C. Chen & Z. H. Tsi
百汇水果冰茶	配料	冰块适量
海南鹤顶兰	拉丁学名	Phaius hainanensis C. Z. Tang et S. J. Cheng
齿裂毛茛	纲	双子叶植物纲
班戈毛茛	属	毛莨属
黄线拟羊鱼	纲	硬骨鱼纲
凤凰螺科	界	动物界
构月天蛾	拉丁学名	Parum colligata
黄胫宽花天牛	拉丁学名	Evodinus bifasciata Olivier
猫纹（小说作品）	界	动物界
潞西山龙眼	属	山龙眼属
普格乌头	门	被子植物门Angiospermae
土豚拳螺	界	动物界
扭叶海蛳螺	科	海蛳螺科
豌豆霜霉病	病原拉丁学名	Peronospora pisi H.Sydow in Gaumann
桔橙指孢囊菌	状态	基丝有不规则分枝
对茎毛兰	门	被子植物门
大圆翅锹形虫	拉丁学名	Neolucanus vendli
兰屿长喙天蛾	门	节肢动物门
白斑尾柳莺挂墩亚种	纲	鸟纲
杨雪毒蛾	分布区域	四川
NGT美国红枫	门	被子植物门
菊花乌龙茶	主料	杭菊花10克，乌龙茶5克
二十八星瓢虫	亚科	毛瓢甲亚科
大嘴雀（燕雀科鸟类）	界	动物界
同色兜兰	科	兰科
迷你大花鼠宝螺	英文名称	Rat Droppings Cowrie
真菌	形态结构	营养体、繁殖体
棒叶鸢尾兰	目	微子目
秋牡丹	亚科	毛茛亚科
红鹤（多肉植物）	属	石莲花属
长梗乌头	拉丁学名	Aconitum longipedicellatum Lauener
大斑啄木鸟华北亚种	命名者及年代	Malherbe
等叶花葶乌头	亚属	牛扁亚属
园袖凤凰螺	门	软体动物门
红缘眼花天牛	纲	昆虫纲
大天鹅指名亚种	界	动物界
勐腊铁线莲	种	勐腊铁线莲
黑鲨（花盆卵生鱼类）	分布区域	亚洲
大根槽舌兰	中文学名	大根槽舌兰
缅甸陆龟	门	脊索动物门
豆天蛾	亚科	短吻天蛾亚科
宽边绿小灰蝶	界	动物界
云南核果茶	族	核果茶族
绦纹芋螺	拉丁学名	Varioconus tenuilineatus，Conus tenuilineatus
长跗角胸肖叶甲	目	鞘翅目
羞怯鹦鹉	命名作者	Schlegel, 1871
南魮	门	脊索动物门
荧光鱼（丽鱼科鱼类）	别称	斑马鱼
宣威乌头	中文学名	宣威乌头
八代天麻	种	八代天麻
锦鲤	种	鲤
穗鵖指名亚种	属	鵖属
脱皮树	门	被子植物门
黄卧孔菌	中文学名	黄卧孔菌
红枝瑚菌	属	枝瑚菌属
双江条鳅	纲	硬骨鱼纲
西藏铁线莲	命名者及年代	Royle.，1839
大花杨桐	亚科	厚皮香亚科
果粒蛙螺	纲	腹足纲
北美乔柏	别称	红雪松
刺孢蜡蘑	属	蜡蘑属
朱兰（兰科植物）	属	朱兰属
广西舌唇兰	属	舌唇兰属
猛犸象	种类现况	现已灭绝
密苏里游动放线菌黄色变种	界	细菌界
南投黄肉楠	属	黄肉楠属(Actinodaphne)
连知茶	出处	传统药茶方。
王企鹅	亚门	脊椎动物亚门
永远在一起（我曾有一只名叫阿丑的狗）	ISBN	9787302342090
飞弹螺	门	软体动物门
长跗角胸肖叶甲	拉丁学名	Basilepta longitarsalis （Tan, 1992）
长序美丽乌头	目	毛莨目
宋朝名茶	属性	茶类总称
锦鲤	亚科	鲤亚科
小点尺蛾	目	鳞翅目
长尾大蚕蛾	科	大蚕蛾科
毛果甘青乌头	亚纲	原始花被亚纲
菊花公英咽肿茶	药方用法	水煎服（成人常用剂量: 3剂）
叉枝唐松草	是否中国特有	否
玫瑰微绿链霉菌	颜色	基丝土黄色
网格花仙螺	命名者	Hedley et Petterd
复伞银莲花	族	银莲花族
矮粗距翠雀花	中文学名	矮粗距翠雀花
海南八哥	英文名称	Indian myna
雪莲（景天科石莲花属多肉植物）	系	Pruinosae
毒龙（一种蜥脚类恐龙）	亚门	脊索动物亚门
建鲤	拉丁学名	Cyprinus carpiovar Jian
棕颈钩嘴鹛东南亚种	拉丁学名	Pomatorhinus ruficollis stridulus
花脊玉米卷管螺	界	动物界
北美落羽杉	纲	松杉纲
仙女杯（多肉植物）	门	木贼门
清姬（多肉植物）	分布区域	南非
斑点刺尾鲷	拉丁学名	Acanthurus guttatus
青岗栎	种	青冈
拟伟梳爪叩甲	界	动物界
线斑土苔蛾	亚纲	有翅亚纲
沼泽山雀	别称	红子
葱（食用蔬菜）	命名者及年代	L.
粗毛黄褐孔菌	分布区域	黑龙江
I-Worm/Atak.d	病毒长度	15917字节
寐龙	界	动物界
尾叶漆	拉丁学名	Toxicodendronacuminatum
脂环酸芽孢杆菌属	模式种	酸热脂环酸芽孢杆菌
广布芋兰	拉丁学名	Nervilia aragoana Gaud.
秋牡丹	别名	白头翁
银木荷	拉丁学名	Schima argentea E. Pritz. ex Diels
红嘴钩嘴鹛指名亚种	目	雀形目
竹长跗萤叶甲	中文学名	竹长跗萤叶甲
微心叶毛柃	拉丁学名	EuryasubcordataHu et L. K. Ling
球果唐松草	纲	木兰纲
Worm/Feebs.ba	中文名	“匪博”变种ba
展毛弯喙乌头	科	毛茛科
Backdoor/Huigezi2005.iu	病毒类型	后门
富贵树	别称	香花槐
婺绿	外文名称	Jiangxi wuyuan green tea
日本柱香菌	中文目名	壳霉目
姬黑骚金龟	俗称	屎壳郎
五花肉炒牛蒡	特色	肉质细嫩香脆，味道鲜美
赤鲈	分布区域	欧洲及亚洲北部冷温带
狮子一家（猫科动物）	书名	狮子一家
五裂黄连	纲	双子叶植物纲 Dicotyledoneae
阿里山鸢尾兰	族	树兰族
灰鹡鸰普通亚种	科	鹡鸰科
细裂川鄂乌头	目	毛茛目
金黄鸡油菌	中文学名	金黄鸡油菌
阔叶沼兰	界	植物界
小叶鸢尾兰	亚科	兰亚科
鸽（鸽子）	亚门	脊椎动物亚门
林八哥	界	动物界
大明山舌唇兰	目	微子目
刚松	中文学名	刚松
蜘蛛螺	英文名称	Smooth Spider Conch
暗褐双突游尺蛾	中文学名	暗褐双突游尺蛾
豆天蛾	种	豆天蛾种
肉骨头海带玉米汤	主要营养成分	粗蛋白8.2克，脂肪0.1克
双电鳐	种	双电鳐
银冬茶	功效	清咽润喉
远东拟沙丁鱼	纲	辐鳍鱼纲 Actinopterygii
春天麻	中文学名	春天麻
凹缘舟蛾	目	鳞翅目
灰绿孟兰	亚科	兰亚科
王企鹅	界	动物界
齿鲸	纲	哺乳纲 Mammalia
Win32.Troj.Cmjspy	中文名	Win32.Troj.Cmjspy
真优美宝螺	门	软体动物门
霸王龙（已灭绝的白垩纪晚期爬行动物）	族	暴龙族
法兰德斯畜牧犬	纲	哺乳纲
拟冰川翠雀花	界	植物界
阔蕊兰	别称	白缘边玉凤兰
红豆杉	药用价值	利尿消肿
单叶石仙桃	科	兰科
青肤樱	种	青肤樱
开口鲨	亚纲	板鳃亚纲
大叶石栎	门	被子植物门
喷点菠萝鱼	性情	安静温和，有挖掘底沙的习惯
栎绿尺蛾	中文学名	栎绿尺蛾
真菌	界	真菌界
南天麻	中文学名	南天麻
红豆杉	工业价值	木材雕刻
东白春芽茶	采制时间	清明到谷雨之间
苹果蠧蛾	拉丁学名	Cydia pomonella
欧洲黑松	目	松杉目 Pinales
铁桦树	亚目	桦木目
烟色斑叶兰	种	烟色斑叶兰
栎黄掌舟蛾	科	舟蛾科
栎褐舟蛾	目	鳞翅目
圆脊异丽金龟	界	动物界
白桦（落叶类乔木植物）	英文名称﻿	White Birch
红宝石（多肉植物）	中文学名	红宝石
多肉观音莲	界	植物界
台湾萤斑蛾	中文学名	台湾萤斑蛾
卷萼兜兰	界	植物界
鳡鱼	别名	黄钻
观音菜（南昆山所独有的蔬菜）	门	被子植物门
长生草属	科	景天科
具齿驼花天牛	界	动物界
二色眼叶象	中文学名	二色眼叶象
海南八哥	界	动物界
芹叶铁线莲	界	植物界
长柔毛翠雀	族	翠雀族
大胸角胸肖叶甲	中文学名	大胸角胸肖叶甲
草本茶	中文名	草本茶
胧月（景天科植物名称）	命名者及年代	(N. E. Br.) Walth.1938
白霜（景天科多肉植物）	界	植物界
NGT美国红枫	别名	加拿大NGT红枫
隆纹黑蛋巢菌	分类地位	鸟巢菌目、鸟巢菌科、黑蛋巢菌属
绿翅灿花天牛	界	动物界
海南盆距兰	目	微子目
泛尺蛾	属	泛尺蛾属
椴六点天蛾	界	动物界
魟（鱼类）	科	魟科
白胸苦恶鸟印度亚种	属	苦恶鸟属
腮腺炎病毒	外文名称	mumps virus
黑头鹎	拉丁学名	Pycnonotus atriceps
平安树	属	樟属
几维鸟（鸟类动物）	别称	奇异鸟
袋形地星	界	真菌界
翘嘴鲌	亚科	鮊亚科
鸡血藤伞锈菌	拉丁名	Ravenelia millettiae
金枪鱼	分布区域	太平洋、大西洋、印度洋的热带、亚热带以及温带广阔水域
炭色离褶伞	中文学名	炭色离褶伞
瓜子毛兰	属	毛兰属
斐济海蛳螺	属	海蛳螺属
游隼	亚种	18亚种
八代天麻	界	植物界
青柠檬（水果名称）	类别	柠檬
嗜酸两面菌属	生长温度范围	45～96℃
火祭（植物）	别称	秋火莲
凡俗峨螺	拉丁学名	Cantharus tinctus
巽他山椒鸟	门	脊索动物门 Chordata
海南盆距兰	亚科	兰亚科
广布红门兰	族	鸟巢兰族
似鲇高原鳅	别称	石板头
平安树	科	樟科
截基银莲花	纲	双子叶植物纲
斑唇红门兰	界	植物界
小红白毛杯菌	拉丁学名	Sarcoscypha occidentalis (Schw.) Sacc.
豹猫（猫科动物）	界	动物界
变叶翅子树	亚纲	五桠果亚纲
黄色深山天牛	中文学名	黄色深山天牛
亮翅毛斑蛾	界	动物界
高腰锹形海蛳螺	纲	腹足纲
林八哥	目	雀形目
黔桂黄肉楠	亚科	樟亚科
泰南吐龙	中文学名	泰南吐龙
黑斑石斑鱼	中文学名	黑斑石斑鱼
宽叶厚唇兰	种	宽叶厚唇兰
弯枝乌头	亚科	金莲花亚科
斑螟蛾	门	节肢动物门
口盖花蜘蛛兰	门	被子植物门
小樱外囊菌	中文学名	小樱外囊菌
虎鲨（卵胎生动物）	拉丁学名	Heterodontus
纵助人字果	科	毛茛科
阿哥芋螺	种	阿哥芋螺
杨雪毒蛾	分布区域	西藏
光序乌头	分布区域	中国四川西部
白花兜兰	分布区域	广西北部与贵州荔波
紫双点螟	界	动物界
淡纹枯叶蛾	中文学名	淡纹枯叶蛾
提丰裳凤蝶	亚种	提丰裳凤蝶
亚太波纹蛾指名亚种	亚门	六足亚门
虎纹海兔螺	外文名称	Primovula tigris
灰旋链霉菌	外形	孢子椭圆 形，表面光滑
黄花鹤顶兰	别称	黄鹤兰
葡萄（水果）	中文学名	葡萄
紫堇叶唐松草	中文学名	紫堇叶唐松草
猫（食肉目猫科动物）	分布区域	全世界（除南极洲，无野生种）
路雪苔蛾	中文学名	路雪苔蛾
罗非鱼	别称	越南鱼
大胸角胸肖叶甲	目	鞘翅目
吊丝虫	别称	两头尖
贝形圆孢侧耳	分布区域	云南
粗柄蘑菇	科	蘑菇科
淡紫金莲花	目	毛茛目
益肺清痰茶	中文名	益肺清痰茶
环孔菌	别称	环褶菌
火龙果（水果）	目	仙人掌目
玉桂片茶	功效	滋阴润燥
橙斑刺尾鱼	同义学名	Acanthurus eparei
蒙自蕈树	分布区域	金平
黄鱼（石首鱼科海洋鱼类）	科	石首鱼科
可可（梧桐科乔木）	种	可可
彩凤（虎皮鹦鹉）	界	动物界
早白尖茶	外形	条索紧细，伸直，满披白毫
地宝兰	命名者及年代	Schltr., 1919
黑山龙	拉丁文学名	( name)→ heishansaurus
王绒鸭	属	绒鸭属
赤点石斑鱼	中文学名	赤点石斑鱼
粗裂宽距翠雀花	界	植物界
褐毛铁线莲	族	银莲花族
地图鱼	中文学名	图丽鱼
猫（食肉目猫科动物）	英文名称	cat
九头鸟（传说的鸟类）	来源	《楚辞》
凹唇石仙桃	族	树兰族
大天鹅指名亚种	定名人及年代	Linnaeus
金凤树	亚科	云实亚科
乳杆菌	门	厚壁菌门
淡黄异花天牛	亚门	六足亚门
金头紫沙尺蛾	科	尺蛾科
火炬树	中文学名	火炬树
小叶栾树	中文学名	小叶栾树
铜绿金花天牛	目	鞘翅目
尖囊兰	纲	单子叶植物纲
女皇凤凰螺	拉丁学名	Lobatus gigas，Strombus gigas，Eustrombus gigas
黑曲霉	定名人	v.Tiegh.
垦丁小灰蝶	拉丁学名	Rapala varuna
葡萄生隔孢伏革菌	拉丁学名	Peniophora viticola
德拉诺伊芋螺	纲	腹足纲
海南山龙眼	别称	火灰树
美洲红鹮	命名者及年代	Linnaeus, 1758
美国白皮松	科	松科
内基小体	中文名	内基小体
蛇头菇	属	蛇头菌
铜绿异丽金龟	科	金龟总科
云雀（鸟类物种）	别名	叫天子
新疆火烧兰	门	被子植物门
金鲳鱼	拉丁学名	:Trachinotus ovatus
小叶榉	门	被子植物门 Angiospermae
柿子派	中文名	柿子派
鹦鹉鱼	亚纲	辐鳍亚纲
沙冷杉	中文学名	沙冷杉
肉毒杆菌毒素	外文名称	Botulinum toxin
齿鲸	亚目	齿鲸亚目 Odontoceti
大花铁线莲	属	铁线莲属
汤玛氏宝螺	英文名称	Thomas's Cowry
耳状人字果	纲	双子叶植物纲
白鹡鸰东北亚种	英文名称	White Wagtail
龙虎斑	门	脊索动物门
地中海链霉菌	界	细菌界
艳红芋螺	门	软体动物门
狭叶白蝶兰	界	植物界
宿苞石仙桃	属	石仙桃属
润生堂护肝茶	中文名	润生堂护肝茶
国绿	目	十字花目
黄绒毛兰	族	树兰族
五裂黄连	亚目	毛茛亚目
洛卡龙	科	萨尔塔龙科 saltasauridae
鼠李盾壳霉	定名人	Miyake
Trojan-Dropper.Win32.Microjoin.gc	文件长度	33,396字节
大太阳闪蝶	亚目	锤角亚目
短柱银莲花	种	短柱银莲花
安哥洛卡象龟	亚纲	无孔亚纲
异形薄孔菌	中文学名	异形薄孔菌
东壁（水果名称）	隶属	良种龙眼一个品种
马来八色鸫	拉丁学名	Pitta moluccensis
铁线蕨叶人字果	门	被子植物门(Magnoliophyta)
白绒鬼伞	目	伞菌目
广东长尾花天牛	科	天牛科
褐天牛	界	动物界
普洱玫瑰奶茶	主要营养成分	钙
染弥尺蛾	总科	尺蛾总科
龙头兰	门	被子植物门
太平洋扁鲨	门	脊索动物门
杜英光壳炱	种	杜英光壳炱
粗茎毛兰	界	植物界
杜鹃（杜鹃花科植物）	二名法	Rhododendron simsii
黄刺蛾	界	动物界
基亚里海蛳螺	科属分类	腹足纲
宿苞石仙桃	拉丁学名	Pholidota imbricata Hook.
花台卷管螺	目	新腹足目
螺旋菌	科	弯曲菌科
勐腊铁线莲	亚纲	原始花被亚纲
黑盾角胫叶甲	分布区域	湖南
茄蚤跳甲	门	节肢动物门 Arthropoda
粉蕉小球腔菌	纲	子囊菌纲
园袖凤凰螺	拉丁学名	Strombus epidromis、Dolomena epidromis
穴点金花天牛	属	金花天牛属
乌桕	分布区域	越南
黑纹游尺蛾	分布区域	湖南(湘北)
枇杷（水果）	亚纲	蔷薇亚纲
圣度四季养生茶	研发人	中医药大学谢鸣教授
白天鹅（雁行目鸭科鸟类）	中文学名	白天鹅
钩柱唐松草	界	植物界
木栾	界	植物界
尖药兰	纲	单子叶植物纲
佛塔卷管螺	界	动物界
漆黑异丽金龟	分布区域	湖南
黄绒毛兰	科	兰科
麻栗坡兜兰	中文学名	麻栗坡兜兰
拟黄花乌头	属	乌头属
结节龙科	纲	蜥形纲
豹鳎	界	动物界
无距小白撑	拉丁学名	Aconitum nagarum Stapf var. heterotrichum f. dielsianum (Airy-Shaw) W.T.Wang
椰心叶甲	纲	昆虫纲
芦莺	科	蝗莺科（ Locustellidae）
伊拉波病毒	上映时间	1996年06月15日
莲雾	英文名称	wax apple
苞毛茛	属	毛莨属
黑缘美苔蛾	拉丁学名	Miltochrista delineata(Walker，1854)
大戟霜霉	目	霜霉目
织布鸟属	拉丁学名	Ploceus philippinus
地宝兰	族	树兰族
槌柱兰	科	豆科
狭叶耳唇兰	拉丁学名	Otochilus fuscus Lindl.
斑点刺尾鲷	分布区域	印度-西太平洋区
大卫（景天科多肉植物）	界	植物界
非洲狮（大型猫科动物）	种	狮
同色兜兰	亚属	宽瓣亚属
光背突顶跳甲	目	鞘翅目
隐翼科	亚纲	蔷薇亚纲
派洛特（夏绿蒂。勃朗特所著长篇小说《简爱》中的狗）	身高	大型
剑龙（侏罗纪晚期食草性四足恐龙）	亚门	脊椎动物亚门
Win32.Troj.QQMsg.lp	病毒类型	木马
枫桦	界	植物界
宽角皱鞘肖叶甲	亚科	肖叶甲亚科
甘薯绮夜蛾	纲	昆虫纲
索马里蝶	界	动物界
毛叶曼青冈	类型	乔木
茉莉老竹芽峰	销售地	北京
大劫步甲	中文学名	大劫步甲
红叶野茉莉	中文学名	红叶野茉莉
狐茅柄锈菌	分布区域	日本和美国阿拉斯加
白唇槽舌兰	族	万代兰族
台湾星三线蝶	科	蛱蝶科
Backdoor/NetRunner.10	影响平台	Win9X/2000/XP/NT
链霉菌SE—425	分类	细菌--放线菌
金雕（鹰科真雕属猛禽）	亚科	雕亚科
雨燕（雨燕科通称）	纲	鸟纲
阔叶猕猴桃球针壳	科	白粉菌科
梨煤污病	拉丁学名	Gloeodes pomigena（Schw.）Colby
平安树	别称	红头山肉桂
甘薯天蛾	族	人面天蛾族
大西洋鲑鱼	科	鲑科Salmonidae
柳叶苏桂	界	植物界
雷波毛茛	纲	双子叶植物纲
赤翡翠	属	翡翠属
缺雄疫霉	拉丁名	Phytophthora insolita
秃鹫（鸟纲秃鹫属动物）	命名者及年代	Linnaeus
毛腹角胸肖叶甲	亚目	肉食亚目
疏花石斛	目	微子目
小体鲟	定名人	Linnaeus
扇内斑舟蛾	门	节肢动物门
草鳊	二名法	Parabramis pekinensis
十星瓢萤叶甲	亚纲	有翅亚纲
鸳鸯（鸳鸯属鸟类）	科	鸭科
太白银莲花	中文学名	太白银莲花
贝氏高原鳅	亚纲	辐鳍鱼亚纲
长腿丝膜菌	分布区域	四川
黑纹游尺蛾	目	鳞翅目
台湾孟兰	科	兰科
斯坦菲尔德芋螺	命名时间	1998年
大花铁线莲	界	植物界
粗裂宽距翠雀花	系	蓝翠雀花系
瀑布闪蝶	科	蛱蝶科
巨瓣兜兰	种	巨瓣兜兰
拟膝瓣乌头	种	拟膝瓣乌头
减肥果（越南水果）	门	被子植物门 Angiospermae
黄刺蛾	亚纲	有翅亚纲
柠檬酸杆菌属	界	细菌界
竹象鼻虫	分布区域	湖南
华灰夜蛾	门	节肢动物门
火炬树	属	盐肤木属
千里香（植物物种）	别称	七里香
滑顶薄壳鸟蛤	目	帘蛤目
荆金茶	用途	一切疮疥
小花人字果	亚科	唐松草亚科
蒜皮猫芋螺	拉丁学名	Pionoconus catus fuscoolivaceus，Conus catus fuscoolivaceus
多脉酸藤子	别称	纽子果
绿竹虎天牛	亚目	多食亚目
韭萤叶甲	分布区域	四川
乌枣	纲	双子叶植物纲 Dicotyledoneae
凉山银莲花	族	银莲花族·银莲花亚族
椆琼楠	分布区域	西藏，印度，缅甸等地
恐龙探秘（2007年大卫·克拉克、贝雷·西雷克导演电影）	片长	40 min
海鲈鱼	别称	咸水鲈鱼
双电鳐	目	电鳐目
四纹长脚金龟	拉丁学名	Hoplia nakanei
宜红茶	地位	我国主要工夫红茶品种之一
猎猴鸟	界	动物界
鰤鱼	亚目	鲈亚目
青肤樱	别名	樱花
湿地岩黄芪单胞锈菌	纲	担子菌纲
赭红暗孔菌	纲	担子菌纲
米鲁龙	中文学名	米鲁龙
云南银莲花	命名者及年代	Franch.，1886
微裂银莲花	科	毛茛科 Ranunculaceae
金凤鸟	亚纲	双孔亚纲
黄鱼（石首鱼科海洋鱼类）	亚目	鲈亚目
三斗石栎	界	植物界
小白蘑菇	纲	担子菌纲
黄鱼（石首鱼科海洋鱼类）	亚门	脊椎动物亚门
椆琼楠	界	植物界
春来香	中文名	春来香
狼紫草白粉菌	菌丝体叶	两面生
永远在一起（我曾有一只名叫阿丑的狗）	作者	刘干民
岩寺皖南龙	科	平头龙科
滑顶薄壳鸟蛤	中文学名	滑顶薄壳鸟蛤
相思鸟（鸟类）	目	雀形目
伞状灵芝	属	灵芝属
茶枝镰蛾	纲	昆虫纲
秃笔螺	中文学名	秃笔螺
竹象鼻虫	科	象甲科
小花钗子股	纲	单子叶植物纲
蜂蜜绿茶饮	原料	绿茶5克
金毛铁线莲	命名者及年代	Franch.，1886
阴地唐松草	目	毛茛目
钻天柳	中文学名	钻天柳
大天鹅指名亚种	种	大天鹅
厚壳钟螺	纲	腹足纲
灰鹡鸰北亚亚种	纲	鸟纲
红唇鸢尾兰	目	微子目
苍溪猕猴桃	亚种	苍溪猕猴桃
勐海天麻	属	天麻属
桔普洱	别称	大桔普洱茶或陈皮普洱茶
毒滑锈伞	亚门	担子菌亚门
脂鲤科	分布区域	非洲、南美洲、中美洲与北美洲
竹象鼻虫	界	动物界
彩云兜兰	科	兰科
矮小草菇	科	光柄菇科
黄蝶	科	粉蝶科
链霉菌HA—MYC—4	中文名	链霉菌HA—MYC—4
透翅蛾	别称	苹果小翅蛾
两点锯锹形虫	门	节肢动物门
沙棘（胡颓子科沙棘属植物）	目	蔷薇目
鲸头鹳	纲	鸟纲
田螺	拉丁学名	Procambarus clarkii
江孜乌头	目	毛莨目(Ranunculales)
来安红花	特点	皮薄肉脆、汁多味甜、香浓渣少
普陀山佛茶（植物）	品质	色泽翠绿微黄
茶枝镰蛾	科	镰蛾科
草鸮属	别称	猴面鹰
紫背沼兰	门	被子植物门
尖叶火烧兰	门	被子植物门
洛卡龙	食性	植食
白鹤参	族	兰族
Rootkit.StartPage.aj	影响平台	Win 9X/ME/NT/2000/XP/2003
青梅（龙脑香科、青梅属乔木）	别称	海梅
欧洲鲟	属	鲟属
列叶盆距兰	科	兰科
鸟足毛茛	科	毛茛科
鞭柱唐松草	门	被子植物门 Angiospermae
金橘红茶	主要食用功效	止咳
双齿角胸肖叶甲	纲	昆虫纲Insecta
密花毛兰	族	树兰族
榆绿毛萤叶甲	别称	榆叶甲
西南桤木	属	桤属
四腺翻唇兰	门	被子植物门
沙弥绶尺蛾	种	沙弥绶尺蛾
黑麦螺	门	软体动物门
连知茶	原料	绿茶3g
黄褐暗水螟	分布区域	海南
白花凤蝶兰	族	万代兰族
马尔摩分枝杆菌	菌落直径	0.5—1.5毫米
广布红门兰	亚科	兰亚科
五唇兰	种	五唇兰
白芦笋炒虾仁	英文名称	Fried shrimps withasparagus
神经元（生物细胞）	研究史	19世纪初
白华波纹蛾台湾亚种	属	华波纹蛾属
耙齿纳摩盖吐龙	恐龙食物	草食
粗裂宽距翠雀花	拉丁学名	Delphinium beesianum var. latisectum W. T. Wang
台湾明孢炱	科	盘菌科
罗汉伞	中文学名	罗汉伞
喷点菠萝鱼	食物	红虫
漆	目	无患子目
芝麻淡水笠螺	门	软体动物门
纱钩蛾	目	鳞翅目
勐海天麻	种	勐海天麻
X纹筒花天牛	界	动物界
星江龙珠	中文名	星江龙珠
褐翅燕鸥西印度洋亚种	属	燕鸥属
弯果乌头	拉丁学名	Aconitum refracticarpum Chang ex W. T. Wang
小叶栾树	纲	木兰纲
粗脉石仙桃	科	兰科
黑嘴鸥（鸥属的鸟类的一种）	亚纲	今鸟亚纲
王绒鸭	门	脊索动物门
竹象鼻虫	目	鞘翅目
双袋兰	族	兰族
枇杷（水果）	分布区域	缅甸
短距舌唇兰	门	被子植物门
雾鸟（天堂鸟）	门	脊索动物门
TrojanDownloader.QDown.f	危害等级	*
秃鹰（动物秃鹰）	目	隼形目
九头鸟（传说的鸟类）	时间	战国至汉初
